,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
116,frozenset({'eggs'}),frozenset({'coca-cola'}),0.8061224489795918,0.8061224489795918,0.7448979591836735,0.9240506329113924,1.1462906585483097,0.09506455643481881,2.5527210884353755,0.6582552271088679
117,frozenset({'coca-cola'}),frozenset({'eggs'}),0.8061224489795918,0.8061224489795918,0.7448979591836735,0.9240506329113924,1.1462906585483097,0.09506455643481881,2.5527210884353755,0.6582552271088679
118,frozenset({'coca-cola'}),frozenset({'juice'}),0.8061224489795918,0.8724489795918368,0.7295918367346939,0.9050632911392404,1.0373824857502405,0.02629112869637651,1.3435374149659853,0.18586676481413322
119,frozenset({'juice'}),frozenset({'coca-cola'}),0.8724489795918368,0.8061224489795918,0.7295918367346939,0.8362573099415204,1.0373824857502405,0.02629112869637651,1.184037900874635,0.2825174825174826
120,frozenset({'coca-cola'}),frozenset({'pens'}),0.8061224489795918,0.8367346938775511,0.7295918367346939,0.9050632911392404,1.0816610064834824,0.05508121615993333,1.719727891156461,0.38940007361059975
121,frozenset({'pens'}),frozenset({'coca-cola'}),0.8367346938775511,0.8061224489795918,0.7295918367346939,0.871951219512195,1.0816610064834824,0.05508121615993333,1.5140913508260434,0.4624125874125873
122,frozenset({'coca-cola'}),frozenset({'pepper'}),0.8061224489795918,0.8061224489795918,0.7295918367346939,0.9050632911392404,1.1227367409069058,0.07975843398583915,2.042176870748298,0.5638571954361422
123,frozenset({'pepper'}),frozenset({'coca-cola'}),0.8061224489795918,0.8061224489795918,0.7295918367346939,0.9050632911392404,1.1227367409069058,0.07975843398583915,2.042176870748298,0.5638571954361422
124,frozenset({'salt'}),frozenset({'coca-cola'}),0.8877551020408163,0.8061224489795918,0.7448979591836735,0.839080459770115,1.040884620980649,0.029258642232403265,1.2048104956268229,0.34993773349937846
125,frozenset({'coca-cola'}),frozenset({'salt'}),0.8061224489795918,0.8877551020408163,0.7448979591836735,0.9240506329113924,1.040884620980649,0.029258642232403265,1.477891156462586,0.2025955299206928
126,frozenset({'coca-cola'}),frozenset({'sugar'}),0.8061224489795918,0.9030612244897959,0.7704081632653061,0.9556962025316456,1.0582850604305227,0.04243023740108298,2.1880466472303213,0.2840711049146051
127,frozenset({'sugar'}),frozenset({'coca-cola'}),0.9030612244897959,0.8061224489795918,0.7704081632653061,0.8531073446327684,1.0582850604305227,0.04243023740108298,1.3198587127158556,0.5681422098292098
128,frozenset({'coca-cola'}),frozenset({'tomatoes'}),0.8061224489795918,0.8418367346938775,0.7295918367346939,0.9050632911392404,1.0751054852320674,0.050968346522282326,1.6659863945578222,0.36032388663967574
129,frozenset({'tomatoes'}),frozenset({'coca-cola'}),0.8418367346938775,0.8061224489795918,0.7295918367346939,0.8666666666666667,1.0751054852320676,0.050968346522282326,1.4540816326530615,0.44168734491315087
130,frozenset({'coca-cola'}),frozenset({'water'}),0.8061224489795918,0.8367346938775511,0.7295918367346939,0.9050632911392404,1.0816610064834824,0.05508121615993333,1.719727891156461,0.38940007361059975
131,frozenset({'water'}),frozenset({'coca-cola'}),0.8367346938775511,0.8061224489795918,0.7295918367346939,0.871951219512195,1.0816610064834824,0.05508121615993333,1.5140913508260434,0.4624125874125873
132,frozenset({'eggs'}),frozenset({'coffee'}),0.8061224489795918,0.8367346938775511,0.7551020408163265,0.9367088607594936,1.1194813213954922,0.08059142024156596,2.5795918367346884,0.5504978662873397
133,frozenset({'coffee'}),frozenset({'eggs'}),0.8367346938775511,0.8061224489795918,0.7551020408163265,0.9024390243902438,1.1194813213954924,0.08059142024156596,1.987244897959182,0.653716216216216
134,frozenset({'honey'}),frozenset({'coffee'}),0.8367346938775511,0.8367346938775511,0.7397959183673469,0.8841463414634145,1.0566627007733491,0.03967097042898782,1.4092373791621895,0.3284482758620682
135,frozenset({'coffee'}),frozenset({'honey'}),0.8367346938775511,0.8367346938775511,0.7397959183673469,0.8841463414634145,1.0566627007733491,0.03967097042898782,1.4092373791621895,0.3284482758620682
136,frozenset({'juice'}),frozenset({'coffee'}),0.8724489795918368,0.8367346938775511,0.7857142857142857,0.9005847953216374,1.0763086578234202,0.05570595585172833,1.6422569027611031,0.5558441558441548
137,frozenset({'coffee'}),frozenset({'juice'}),0.8367346938775511,0.8724489795918368,0.7857142857142857,0.9390243902439024,1.0763086578234202,0.05570595585172833,2.0918367346938753,0.43425324675324595
