,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
14,frozenset({'beer'}),frozenset({'honey'}),0.8438945886139609,0.8276000804667069,0.7376785355059344,0.8741358760429083,1.0562298103571457,0.03927130606360185,1.3697304212919796,0.3410281586397491
15,frozenset({'honey'}),frozenset({'beer'}),0.8276000804667069,0.8438945886139609,0.7376785355059344,0.8913466212931455,1.0562298103571457,0.03927130606360185,1.4367285513247545,0.3087956255594461
16,frozenset({'juice'}),frozenset({'beer'}),0.8388654194327098,0.8438945886139609,0.7423053711526856,0.8848920863309352,1.0485813018238568,0.03439138311804113,1.3561657614162137,0.2875267703987897
17,frozenset({'beer'}),frozenset({'juice'}),0.8438945886139609,0.8388654194327098,0.7423053711526856,0.8796185935637665,1.0485813018238568,0.03439138311804113,1.3385337930292736,0.29678987511524546
18,frozenset({'beer'}),frozenset({'milk'}),0.8438945886139609,0.856366928183464,0.7388855361094347,0.8755661501787844,1.0224193874885452,0.01620211954744888,1.1542925982190972,0.14046777683906841
19,frozenset({'milk'}),frozenset({'beer'}),0.856366928183464,0.8438945886139609,0.7388855361094347,0.8628141883955838,1.0224193874885452,0.01620211954744888,1.1379122196410418,0.15266525886150853
20,frozenset({'beer'}),frozenset({'pens'}),0.8438945886139609,0.8267954133977067,0.7604103802051901,0.9010727056019071,1.0898375716659563,0.06268220494802268,1.7508270862569182,0.528053919162167
21,frozenset({'pens'}),frozenset({'beer'}),0.8267954133977067,0.8438945886139609,0.7604103802051901,0.9197080291970804,1.0898375716659563,0.06268220494802268,1.9442219418079434,0.47592316059215056
22,frozenset({'beer'}),frozenset({'pepper'}),0.8438945886139609,0.824180245423456,0.7153490243411789,0.8476758045292015,1.028507792119761,0.019827775185798036,1.1542470586050118,0.177557098210662
23,frozenset({'pepper'}),frozenset({'beer'}),0.824180245423456,0.8438945886139609,0.7153490243411789,0.8679521601171589,1.028507792119761,0.019827775185798036,1.1821883002746805,0.1576479498987114
24,frozenset({'beer'}),frozenset({'salt'}),0.8438945886139609,0.8310199155099578,0.7388855361094347,0.8755661501787844,1.0536042925535554,0.03759232638015031,1.3579912920224666,0.32591479758954295
25,frozenset({'salt'}),frozenset({'beer'}),0.8310199155099578,0.8438945886139609,0.7388855361094347,0.8891309610263859,1.0536042925535554,0.03759232638015031,1.4080162760605404,0.30108319396367317
26,frozenset({'beer'}),frozenset({'sugar'}),0.8438945886139609,0.7972238986119493,0.7075035204184269,0.8383790226460072,1.0516230435461271,0.03473058646607785,1.2546397423641191,0.31446010394285245
27,frozenset({'sugar'}),frozenset({'beer'}),0.7972238986119493,0.8438945886139609,0.7075035204184269,0.8874589957103205,1.0516230435461271,0.03473058646607785,1.3870980836835718,0.2420843657337833
28,frozenset({'beer'}),frozenset({'tea'}),0.8438945886139609,0.8141219070609536,0.7306376986521826,0.865792610250298,1.063468017186615,0.0436046268113659,1.3850063941017758,0.38230725453017833
29,frozenset({'tea'}),frozenset({'beer'}),0.8141219070609536,0.8438945886139609,0.7306376986521826,0.8974549048678032,1.063468017186615,0.0436046268113659,1.5223098792272276,0.32107189341495507
30,frozenset({'beer'}),frozenset({'tomatoes'}),0.8438945886139609,0.8449004224502112,0.7217863608931805,0.8553039332538738,1.0123132981440492,0.008779466469797659,1.0718990573663334,0.07791866358652597
31,frozenset({'tomatoes'}),frozenset({'beer'}),0.8449004224502112,0.8438945886139609,0.7217863608931805,0.8542857142857143,1.012313298144049,0.008779466469797659,1.071311646766935,0.07842397268890294
32,frozenset({'beer'}),frozenset({'vodka'}),0.8438945886139609,0.8764836049084691,0.7738885536109434,0.9170441001191895,1.0462763878109917,0.03422878241982941,1.4889404523246317,0.2833316361122201
33,frozenset({'vodka'}),frozenset({'beer'}),0.8764836049084691,0.8438945886139609,0.7738885536109434,0.8829469818682579,1.0462763878109917,0.03422878241982941,1.3336299557038664,0.3580868886369427
34,frozenset({'beer'}),frozenset({'water'}),0.8438945886139609,0.8366525849929591,0.7415007040836854,0.8786650774731825,1.0502149795910531,0.03545411505824514,1.3462522710305245,0.30629303690195875
35,frozenset({'water'}),frozenset({'beer'}),0.8366525849929591,0.8438945886139609,0.7415007040836854,0.8862707381582112,1.0502149795910531,0.03545411505824514,1.372605509417626,0.29271354265507393
